Customer ID,Loan ID,Loan Amount,Tenure,Interest Rate,Monthly payment,EMIs paid on Time,Date of Approval,End Date
14,5930,900000,129,8.2,15344,114,3/9/2017,12/9/2027
270,2941,300000,3,13.46,100000,3,9/6/2011,12/6/2011
28,5152,200000,147,12.39,5526,126,7/13/2015,10/13/2027
68,6701,500000,171,12.72,15631,160,1/4/2021,4/4/2035
244,7997,400000,135,12.1,10408,81,5/2/2019,8/2/2030
229,4648,700000,18,12.57,43777,13,9/10/2020,3/10/2022
29,8977,200000,21,17.07,11150,19,7/8/2011,4/8/2013
93,8532,200000,144,13.03,6039,99,11/11/2011,11/11/2023
138,8579,200000,159,10.65,4688,141,11/25/2011,2/25/2025
53,8321,100000,177,9.59,2036,123,8/7/2011,5/7/2026
12,2108,800000,120,9.14,15986,104,12/8/2019,12/8/2029
133,3832,1000000,9,9.12,111111,6,11/1/2016,8/1/2017
187,4207,200000,120,17.1,8080,74,1/30/2014,1/30/2024
21,1548,600000,102,17.89,21947,65,12/1/2022,6/1/2031
251,6957,600000,90,16.14,19001,56,2/16/2018,8/16/2025
105,1313,500000,69,13.21,13475,42,7/1/2017,4/1/2023
173,2751,200000,81,12.84,5097,50,3/9/2016,12/9/2022
280,1787,600000,132,16.87,25253,88,12/29/2021,12/29/2032
35,9640,600000,129,11.83,14228,122,2/23/2012,11/23/2022
209,6917,700000,84,10.42,16678,79,1/10/2022,1/10/2029
70,1438,500000,57,17.52,16732,56,8/13/2013,5/13/2018
186,2767,500000,150,16.78,21444,111,8/26/2018,2/26/2031
270,6018,600000,120,8.91,11739,94,12/2/2017,12/2/2027
223,3363,700000,120,14.01,21644,99,4/4/2019,4/4/2029
107,6719,200000,102,10.15,4249,92,1/26/2010,7/26/2018
265,8112,500000,54,16.06,16800,35,7/17/2015,1/17/2020
260,9996,600000,90,18,21236,59,2/12/2023,8/12/2030
15,4439,900000,105,8.87,16917,64,3/7/2016,12/7/2024
125,2826,400000,15,9.79,29277,9,2/18/2022,5/18/2023
173,7191,300000,93,14.61,8379,90,8/1/2023,5/1/2031
129,3792,300000,159,9.55,6176,112,1/6/2016,4/6/2029
276,3056,400000,141,16.32,14964,99,7/24/2013,4/24/2025
24,6592,300000,147,8.37,5354,93,9/26/2016,12/26/2028
288,1151,900000,24,17.01,51343,19,7/24/2017,7/24/2019
74,5639,200000,81,10.59,4517,74,5/28/2022,2/28/2029
258,8659,500000,63,9.65,12580,60,3/14/2010,6/14/2015
290,3301,800000,108,14.55,25155,86,8/19/2016,8/19/2025
184,4364,200000,126,13.61,5686,118,8/27/2014,2/27/2025
187,1302,1000000,90,15.24,29990,61,6/3/2020,12/3/2027
29,8265,700000,150,13.23,20727,127,11/13/2020,5/13/2033
2,5607,400000,81,13.16,10369,64,3/20/2017,12/20/2023
191,1039,600000,63,14.52,18759,63,7/6/2014,10/6/2019
250,7023,500000,81,16.79,15665,57,7/31/2023,4/30/2030
240,1336,800000,162,12.03,21623,93,12/22/2019,6/22/2033
241,5189,400000,153,10.72,8873,133,11/22/2011,8/22/2024
215,7879,800000,177,13.55,26775,152,3/12/2015,12/12/2029
84,6700,500000,72,17.63,18397,66,5/21/2016,5/21/2022
295,7102,600000,120,12.89,16808,105,12/19/2021,12/19/2031
113,4722,700000,138,15.36,24425,93,6/10/2023,12/10/2034
202,2459,600000,105,15.98,18708,87,12/3/2017,9/3/2026
81,7884,900000,87,13.91,25743,61,2/10/2014,5/10/2021
86,3514,800000,87,15.08,24579,46,10/19/2012,1/19/2020
274,6628,500000,153,12.55,13503,153,8/7/2016,5/7/2029
298,8640,300000,150,11.04,7027,77,11/7/2015,5/7/2028
187,4951,200000,144,13.7,6483,75,3/2/2011,3/2/2023
213,2235,800000,93,16.45,24979,58,3/29/2011,12/29/2018
172,6396,500000,165,17.78,25434,161,8/3/2011,5/3/2025
237,5578,500000,162,11.03,12028,148,8/5/2010,2/5/2024
59,1047,900000,114,10.86,19967,102,3/27/2011,9/27/2020
240,2645,800000,171,11.41,21234,160,12/25/2011,3/25/2026
24,9436,200000,105,10.67,4286,74,7/1/2017,4/1/2026
70,3213,300000,129,14.53,9031,80,11/3/2019,8/3/2030
263,3176,800000,18,14.91,51071,11,6/20/2019,12/20/2020
154,7197,200000,150,15.37,7414,93,9/18/2013,3/18/2026
129,2542,300000,72,12.58,8483,65,5/2/2017,5/2/2023
167,7928,700000,138,14.16,21771,84,2/14/2016,8/14/2027
221,4149,900000,15,9.15,65490,8,7/29/2014,10/29/2015
131,7329,1000000,132,16.74,41576,103,3/12/2023,3/12/2034
20,1003,900000,102,12.54,22704,87,11/4/2010,5/4/2019
71,3238,500000,51,16.41,18004,48,3/11/2018,6/11/2022
236,4789,800000,168,15.56,36065,121,2/21/2014,2/21/2028
150,2357,200000,21,9.69,10447,18,7/5/2021,4/5/2023
204,1346,900000,105,16.35,28786,98,10/17/2020,7/17/2029
265,6262,200000,102,14.37,5740,72,10/14/2022,4/14/2031
17,6710,900000,27,15.42,44406,16,9/13/2019,12/13/2021
175,9935,600000,168,8.57,11292,99,11/26/2019,11/26/2033
110,6784,600000,105,16.48,19363,64,6/22/2011,3/22/2020
176,6552,700000,159,15.85,29809,141,10/4/2012,1/4/2026
189,9132,700000,156,17.46,36353,124,4/23/2022,4/23/2035
280,3564,400000,96,9.52,8625,71,7/27/2023,7/27/2031
162,6266,500000,138,10.22,10567,105,11/9/2018,5/9/2030
199,9252,800000,141,13.51,22869,81,5/5/2016,2/5/2028
10,8696,500000,72,8.95,11615,51,8/3/2010,8/3/2016
197,9462,600000,45,17.55,21657,25,6/14/2019,3/14/2023
167,7483,700000,9,15.31,77778,9,9/20/2020,6/20/2021
33,7638,1000000,114,16.7,35215,111,9/30/2016,3/30/2026
173,9255,500000,51,10.06,14385,47,10/3/2019,1/3/2024
182,5387,100000,93,17.46,3317,73,6/12/2018,3/12/2026
56,2895,800000,69,17.65,26134,46,1/11/2018,10/11/2023
218,7510,300000,75,12.24,7997,46,2/9/2022,5/9/2028
80,9946,500000,21,12.53,26793,11,4/13/2018,1/13/2020
28,4640,900000,153,15.77,34096,109,7/9/2013,4/9/2026
2,3957,200000,84,14.34,6083,74,4/22/2012,4/22/2019
160,3627,200000,177,12.65,5988,172,11/13/2010,8/13/2025
188,6065,300000,96,14.96,9533,63,12/12/2013,12/12/2021
101,2689,500000,27,17.68,25646,15,1/29/2016,4/29/2018
235,2766,600000,117,15.46,18700,106,9/10/2020,6/10/2030
265,9400,300000,9,12.04,33333,7,12/26/2015,9/26/2016
187,8044,300000,63,14.47,9359,62,4/17/2018,7/17/2023
92,7627,500000,6,13.11,83333,5,3/27/2014,9/27/2014
78,1185,900000,24,13.11,47977,21,3/21/2022,3/21/2024
159,1083,600000,162,16.94,28324,99,8/24/2017,2/24/2031
70,9337,900000,162,16.62,40999,161,1/21/2018,7/21/2031
43,2372,100000,3,16.2,33333,2,12/23/2018,3/23/2019
152,1275,700000,162,17.01,33303,149,4/2/2016,10/2/2029
286,5597,900000,84,10.95,22175,76,10/8/2014,10/8/2021
22,1978,300000,42,8.44,9108,30,11/1/2014,5/1/2018
63,1682,800000,33,8.97,28787,27,11/14/2022,8/14/2025
295,2365,600000,69,11.72,15134,53,7/8/2017,4/8/2023
123,8147,500000,165,8.23,8472,95,12/8/2013,9/8/2027
73,4758,400000,141,15.39,13699,115,11/2/2022,8/2/2034
273,3576,1000000,129,16.67,36224,74,5/29/2018,2/28/2029
229,2050,100000,45,16.27,3493,27,12/8/2017,9/8/2021
210,4690,100000,159,10.7,2358,133,9/10/2020,12/10/2033
119,8906,800000,81,15.81,23828,61,1/12/2019,10/12/2025
41,7058,500000,42,17.29,19209,32,6/27/2019,12/27/2022
260,1309,300000,90,11.92,7332,82,2/17/2018,8/17/2025
218,4058,500000,15,12.25,37417,11,6/13/2017,9/13/2018
118,6492,700000,24,11.68,36378,15,11/28/2013,11/28/2015
162,4662,200000,33,16.1,8169,18,12/22/2021,9/22/2024
227,3949,1000000,144,17.93,50249,133,5/20/2019,5/20/2031
68,9388,500000,15,10.21,36737,9,6/23/2013,9/23/2014
279,1845,1000000,39,13.24,37234,28,9/26/2019,12/26/2022
